Unnamed: 0,Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
18,4.5,8.0,128.0,6.7,48,12.0,4700,47999
605,4.1,6.0,32.0,3.7,64,23.0,3500,930
286,4.3,3.0,32.0,5.7,38,2.0,3800,9987
83,4.3,6.0,32.0,4.54,48,32.0,1900,1570
61,3.8,6.0,32.0,4.4,48,9.78483245149912,3000,930
792,4.3,1.0,16.0,4.5,48,8.0,3000,798
285,4.4,3.0,64.0,6.35,38,2.0,5000,12649
644,4.5,8.0,128.0,6.3,48,2.0,3500,15490
549,3.8,6.0,32.0,4.54,48,9.78483245149912,2800,1299
531,3.8,3.0,32.0,6.2,48,8.0,3000,15899
182,4.0,6.0,32.0,4.5,48,8.0,3500,948
328,4.1,6.0,32.0,4.54,48,9.78483245149912,3000,1699
521,4.0,6.0,32.0,4.77,48,9.78483245149912,3000,2100
223,4.7,8.0,64.0,5.8,35,12.0,3500,112450
444,4.2,6.0,32.0,4.54,48,61.0,1750,1390
490,4.7,8.0,64.0,6.1,35,12.0,3500,68300
334,4.1,6.0,32.0,4.4,48,9.78483245149912,2500,985
344,4.3,6.0,64.0,6.5,48,8.0,5000,18499
464,4.3,1.0,16.0,4.5,48,8.0,3000,869
534,4.1,4.0,64.0,5.9,38,2.0,3000,14999
176,4.6,4.0,64.0,6.2,35,8.0,3500,53990
790,3.9,6.0,32.0,4.5,48,9.78483245149912,3000,900
380,4.5,6.0,64.0,6.5,64,13.0,3800,29999
163,3.6,6.0,64.0,4.5,48,9.78483245149912,3000,649
248,3.4,6.0,64.0,4.5,48,14.0,3000,599
538,4.3,4.0,64.0,6.2,38,2.0,4230,15656
739,4.5,6.0,64.0,6.3,48,2.0,3350,18990
74,4.4,8.0,128.0,6.4,48,8.0,3800,18990
494,4.4,6.0,128.0,6.3,26,5.0,3000,27999
425,4.1,6.0,32.0,44.0,48,15.0,3000,940
104,3.9,4.0,20.0,4.54,48,9.78483245149912,3700,1499
114,4.2,6.0,128.0,6.08,48,8.0,4030,14990
314,4.1,6.0,64.0,4.5,48,9.78483245149912,3000,985
92,3.8,12.0,56.0,4.57,48,10.0,3000,1799
431,4.0,3.0,32.0,5.4,38,8.0,3800,7999
89,4.2,4.0,4.0,4.5,64,9.78483245149912,3500,1149
